Year,Scenario,name,M,L,U
2025,Mass_Xray_10_PAN,AvtMor,4.9288120704534975e-11,4.276960446646269e-11,5.623028411973927e-11
2025,TxPPM_LA-INJ,AvtInc,-2.2650260387547548e-5,-2.647202304226951e-5,-1.8956899396298634e-5
2025,TxPPM_LA-INJ,AvtMor,2.9652390827699038e-5,1.235750626974261e-5,4.501523357874496e-5
2025,TxPPM_PAN-TB,AvtInc,-2.2650374733195464e-5,-2.6472151700208374e-5,-1.8956992551356645e-5
2025,TxPPM_PAN-TB,AvtMor,2.9652299722216535e-5,1.2357420814213427e-5,4.5015153967419694e-5
2025,Tx_LA-INJ,AvtInc,1.6427850502998184e-10,1.4154166798071166e-10,1.866599961468354e-10
2025,Tx_LA-INJ,AvtMor,1.3273404181145985e-10,1.148083218377603e-10,1.5143329532049765e-10
2025,Tx_PAN-TB,AvtInc,6.104728821023087e-11,5.257803822550516e-11,6.937620350536282e-11
2025,Tx_PAN-TB,AvtMor,4.9288120704534975e-11,4.276960446646269e-11,5.623028411973927e-11
2025,Vac_BCG,AvtInc,0,-2.3238131916911725e-13,8.110494267835983e-14
2025,Vac_BCG,AvtMor,0,0,0
2025,Vac_BCG-M72,AvtInc,0,0,0
2025,Vac_BCG-M72,AvtMor,0,0,0
2025,Vac_M72,AvtInc,0,0,0
2025,Vac_M72,AvtMor,0,0,0
2025,Vac_Recurrence,AvtInc,0,0,0
2025,Vac_Recurrence,AvtMor,0,0,0
2026,Baseline,AvtInc,0,0,0
2026,Baseline,AvtMor,0,0,0
2026,CombinePPM_Hi,AvtInc,1.0393513126018753e-5,-2.2989972650914546e-5,4.448863798008287e-5
2026,CombinePPM_Hi,AvtMor,5.812803716217857e-4,5.192787584172722e-4,6.373533869492573e-4
2026,Combine_Hi,AvtInc,1.057684548164958e-4,8.678316189154265e-5,1.4887948771561533e-4
2026,Combine_Hi,AvtMor,3.732661693588555e-4,3.091815538207786e-4,4.389065185764941e-4
2026,DxPPM_POC,AvtInc,5.475269185993593e-4,4.3857123082970866e-4,7.958637866870623e-4
2026,DxPPM_POC,AvtMor,0.0023358748629146147,0.001953498519210244,0.0027236417138533863
2026,DxPPM_POC_Hi,AvtInc,-1.6371619806822443e-5,-4.180166138617403e-5,1.6707651845243914e-5
2026,DxPPM_POC_Hi,AvtMor,5.305349325777759e-4,4.749366293736929e-4,5.666185440864459e-4
2026,DxPPM_TSwab,AvtInc,1.0393350844130356e-5,-2.2990125858906083e-5,4.4488393291196714e-5
2026,DxPPM_TSwab,AvtMor,5.812802383474552e-4,5.1927858768318e-4,6.373532574842305e-4
2026,Dx_POC,AvtInc,6.013438074010625e-4,4.818044875245537e-4,8.382891921427032e-4
2026,Dx_POC,AvtMor,0.001998709729438712,0.0016464187412874925,0.0023759620448140107
2026,Dx_POC_Hi,AvtInc,8.957962467288741e-5,7.271553953140069e-5,1.2803777149060378e-4
2026,Dx_POC_Hi,AvtMor,3.449529868261242e-4,2.860217703922558e-4,4.015753946864349e-4
2026,Dx_POC_Hi_ITT,AvtInc,0.004377346024436763,0.0035439725821825568,0.006169296023164205
2026,Dx_POC_Hi_ITT,AvtMor,0.014408516205526314,0.01173053857108611,0.01728486690597014
2026,Dx_POC_ITT,AvtInc,0.00485183136089593,0.003916511348119859,0.006825435138288812
2026,Dx_POC_ITT,AvtMor,0.015857844700496657,0.012896710288655373,0.019076960763926478
2026,Dx_TSwab,AvtInc,1.0576826151491108e-4,8.678296474540892e-5,1.4887933799609854e-4
2026,Dx_TSwab,AvtMor,3.7326596825029137e-4,3.0918142734194515e-4,4.389063986536977e-4
2026,Dx_TSwab_ITT,AvtInc,0.004392956137680601,0.003556041159169911,0.00618883098584882
2026,Dx_TSwab_ITT,AvtMor,0.014431294740168943,0.011748386085775405,0.017316384273453063
2026,Mass_NAAT_20_HRZE,AvtInc,0,0,0
2026,Mass_NAAT_20_HRZE,AvtMor,0,0,0
2026,Mass_NAAT_20_PAN,AvtInc,6.693874508601825e-11,5.7248325142503553e-11,7.661129819147954e-11
2026,Mass_NAAT_20_PAN,AvtMor,5.597665045137897e-11,4.809931750269912e-11,6.430173054569444e-11
2026,Mass_Xray_10_HRZE,AvtInc,0,0,0
2026,Mass_Xray_10_HRZE,AvtMor,0,0,0
2026,Mass_Xray_10_PAN,AvtInc,6.693874508601825e-11,5.7248325142503553e-11,7.661129819147954e-11
2026,Mass_Xray_10_PAN,AvtMor,5.597665045137897e-11,4.809931750269912e-11,6.430173054569444e-11
2026,TxPPM_LA-INJ,AvtInc,-1.113692064046149e-4,-1.3109624610531124e-4,-9.272447612808642e-5
2026,TxPPM_LA-INJ,AvtMor,1.8337071286193005e-4,1.0488927015590994e-4,2.58659827456197e-4
